species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Lomatia abbreviata;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Lomatia alecto;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Lomatia armeniaca;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Lomatia atropos;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Lomatia belzebul;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Lomatia erinnys;Arthropoda;Insecta;Diptera;Bombyliidae;FE;;;;;gap;
Lomatia fasciculata;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Lomatia grajugena;Arthropoda;Insecta;Diptera;Bombyliidae;FE;;;;;gap;
Lomatia gratiosa;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Lomatia hecate;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Lomatia lachesis;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Lomatia lateralis;Arthropoda;Insecta;Diptera;Bombyliidae;BOLD,FE,iNat,SyDip;2;5;1;SyDip;;1140893
Lomatia obscuripennis;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Lomatia pallida;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Lomatia polyzona;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Lomatia rogenhoferi;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Lomatia sabea;Arthropoda;Insecta;Diptera;Bombyliidae;FE;;;;FE;gap;
Lomatia taurica;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Lomatia tysiphone;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Lomatia variegata;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Micomitra iris;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Micomitra stupida;Arthropoda;Insecta;Diptera;Bombyliidae;BOLD,FE,SyDip;4;5;1;SyDip;;483454
Neobombylodes multisetosus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Oestranthrax karavajevi;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Oestranthrax melanothrix;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Oestranthrax myrmecaeluri;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Oestranthrax pallifrons;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Oligodranes obscuripennis;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Pachyanthrax laconae;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Pachyanthrax telamon;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Pachyanthrax unctus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Parageron gratus;Arthropoda;Insecta;Diptera;Bombyliidae;FE;;;;FE;gap;
Parageron incisus;Arthropoda;Insecta;Diptera;Bombyliidae;FE;;;;FE;gap;
Parageron loewi;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Parageron punctipennis;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Parageron striatus;Arthropoda;Insecta;Diptera;Bombyliidae;FE;;;;FE;gap;
Petrorossia guanchorum;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Petrorossia hespera;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Petrorossia letho;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Petrorossia stenogastra;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Phthiria barbatula;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Phthiria canescens;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Phthiria conspicua;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Phthiria freyi;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Phthiria fulva;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Phthiria gaedii;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Phthiria lacteipennis;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Phthiria lazaroi;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Phthiria minuta;Arthropoda;Insecta;Diptera;Bombyliidae;BOLD,FE,iNat,SyDip;4;4;0;SyDip;;1140885
Phthiria ombriosus;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Phthiria pulicaria;Arthropoda;Insecta;Diptera;Bombyliidae;BOLD,FE,SyDip;17;20;1;SyDip;;483369
Phthiria scutellaris;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Phthiria simonyi;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Phthiria subnitens;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Phthiria umbripennis;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Phthiria vagans;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Plesiocera algira;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Prorachthes beckeri;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Prorachthes ledereri;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Prorachthes vespertilio;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Satyramoeba hetrusca;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Spogostylum isis;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Spogostylum trinotatum;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Spogostylum tripunctatum;Arthropoda;Insecta;Diptera;Bombyliidae;BOLD,FE,SyDip;1;1;1;SyDip;;957668
Stomylomyia europaea;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Stomylomyia tenella;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Systoechus autumnalis;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;SyDip;gap;
Systoechus ctenopterus;Arthropoda;Insecta;Diptera;Bombyliidae;BOLD,FE,iNat,SyDip;5;5;1;SyDip;;969384
Systoechus gomezmenori;Arthropoda;Insecta;Diptera;Bombyliidae;FE,SyDip;;;;;gap;
Systoechus gradatus;Arthropoda;Insecta;Diptera;Bombyliidae;BOLD,FE,SyDip;1;2;1;SyDip;;1067365
