species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Ferneiella brevifurca;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Ferneiella incompleta;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Holoplagia bullata;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Holoplagia lucifuga;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Holoplagia richardsi;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Holoplagia transversalis;Arthropoda;Insecta;Diptera;Scatopsidae;FE;;;;FE;gap;
Parascatopse litorea;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Parascatopse minutissima;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Pharsoreichertella simplicinervis;Arthropoda;Insecta;Diptera;Scatopsidae;FE;;;;FE;gap;
Psectrosciara asklepios;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Quateiella inexpectata;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Reichertella (Pharsoreichertella) hamifera;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE,SyDip;;;;SyDip;gap;374067
Reichertella (Pharsoreichertella) stackelbergi;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Reichertella (Reichertella) geniculata;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE,SyDip;;;;SyDip;gap;374066
Reichertella (Reichertella) nigra;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE,SyDip;;;;SyDip;gap;374068
Reichertella (Reichertella) pulicaria;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Rhegmoclemina (Neorhegmoclemina) catharinae;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Rhegmoclemina bellstedti;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Rhegmoclemina hungarica;Arthropoda;Insecta;Diptera;Scatopsidae;FE;;;;FE;gap;
Rhegmoclemina vaginata;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Rhexoza flixella;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Rhexoza freyi;Arthropoda;Insecta;Diptera;Scatopsidae;FE;;;;FE;gap;
Rhexoza richardsi;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Rhexoza subnitens;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Scatopse globulicauda;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Scatopse lapponica;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Scatopse notata;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE,iNat,SyDip;237;241;1;ITIS;;374070
Swammerdamella acuta;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Swammerdamella adercotris;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Swammerdamella brevicornis;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE,SyDip;0;5;0;SyDip;gap;374072
Swammerdamella genypodis;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Swammerdamella pediculata;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;SyDip;gap;
Thripomorpha bifida;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;FE;gap;
Thripomorpha cooki;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;FE;gap;
Thripomorpha coxendix;Arthropoda;Insecta;Diptera;Scatopsidae;FE;;;;FE;gap;
Thripomorpha freyi;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;FE;gap;
Thripomorpha haennii;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;;gap;
Thripomorpha halteratum;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE;4;4;1;FE;;374074
Thripomorpha paludicola;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;FE;gap;
Thripomorpha verralli;Arthropoda;Insecta;Diptera;Scatopsidae;BOLD,FE;1;1;1;FE;;760241
Thripomorpha vockerothi;Arthropoda;Insecta;Diptera;Scatopsidae;FE,SyDip;;;;FE;gap;
