species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Hepatoxylon megacephalum;Platyhelminthes;Cestoda;Trypanorhyncha;Sphyriocephalidae;WORMS;;;;WORMS;gap;
Hepatoxylon trichiuri;Platyhelminthes;Cestoda;Trypanorhyncha;Sphyriocephalidae;WORMS;;;;WORMS;gap;
Sphyriocephalus dollfusi;Platyhelminthes;Cestoda;Trypanorhyncha;Sphyriocephalidae;WORMS;;;;;gap;
Sphyriocephalus viridis;Platyhelminthes;Cestoda;Trypanorhyncha;Sphyriocephalidae;WORMS;;;;WORMS;gap;
