species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Ascarops strongylina;Nematoda;Secernentea;Spirurida;Spirocercidae;FE;;;;FE;gap;
Cyathospirura seurati;Nematoda;Secernentea;Spirurida;Spirocercidae;FE;;;;;gap;
Cyathospirura skrjabini;Nematoda;Secernentea;Spirurida;Spirocercidae;FE;;;;;gap;
Mastophorus muris;Nematoda;Secernentea;Spirurida;Spirocercidae;FE;2;3;2;FE;;897675
Mastophorus petrowi;Nematoda;Secernentea;Spirurida;Spirocercidae;FE;;;;;gap;
Physocephalus sexalatus;Nematoda;Secernentea;Spirurida;Spirocercidae;FE;;;;FE;gap;
Simondsia paradoxa;Nematoda;Secernentea;Spirurida;Spirocercidae;FE;;;;;gap;
Spirocerca arctica;Nematoda;Secernentea;Spirurida;Spirocercidae;FE;;;;;gap;
Streptopharagus kutassi;Nematoda;Secernentea;Spirurida;Spirocercidae;FE;;;;FE;gap;
