species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Drepanophoriella histriana;Nemertea;Hoplonemertea;Polystilifera;Drepanophoridae;WORMS;;;;;gap;
Drepanophorus massiliensis;Nemertea;Hoplonemertea;Polystilifera;Drepanophoridae;WORMS;;;;;gap;
Drepanophorus rubrostriatus;Nemertea;Hoplonemertea;Polystilifera;Drepanophoridae;WORMS;;;;;gap;
Punnettia hubrechti;Nemertea;Hoplonemertea;Polystilifera;Drepanophoridae;WORMS;;;;WORMS;gap;
Punnettia splendida;Nemertea;Hoplonemertea;Polystilifera;Drepanophoridae;BOLD,WORMS;0;1;0;;gap;1062399
Wijnhoffella alexandrinensis;Nemertea;Hoplonemertea;Polystilifera;Drepanophoridae;WORMS;;;;;gap;
