Aagaardia protensa,731420
Aagaardia sivertseni,751157
Aaptos papillata,240051
Abacarus acutatus,656332
Abacarus hystrix,656333
Abacarus lolii,656334
Abacetus salzmanni,468971
Abacoproeces saltuum,389880
Abantennarius coccineus,1123669
Abatus cordatus,222181
Abax beckenhauptii,607184
Abax carinatus,496155
Abax continuus,879937
Abax exaratus,958368
Abax ovalis,226201
Abax parallelepipedus,312182,559274
Abax parallelus,312585
Abax pyrenaeus,879938
Abdera affinis,309913
Abdera bifasciata,515846,515846
Abdera biflexuosa,967769
Abdera flexuosa,318399
Abdera quadrifasciata,330325
Abdera triguttata,318417
Abia aenea,208545
Abia aurulenta,208546
Abia candens,83752
Abia fasciata,190393
Abia fulgens,294431
Abia lonicerae,331925
Abia mutica,331932
Abia nitens,331933
Abia sericea,208547
Abida cylindrica,211256
Abida gittenbergeri,211257
Abida partioti,211260
Abida polyodon,211259
Abida pyrenaearia,211254
Abida secale,211253
Abida vergniesiana,961245
Abietinaria abietina,714418
Abietinaria filicula,726286
Abiskoa abiskoensis,726732
Abiskomyia paravirgo,751155
Ablabesmyia (Ablabesmyia) aspera,272766
Ablabesmyia longistyla,348434
Ablabesmyia (Ablabesmyia) monilis,56467,272780
Ablabesmyia (Ablabesmyia) phatta,728747
Ablaxia anaxenor,707207
Ablaxia crassicornis,970232
Ablaxia parviclava,968321
Ablaxia squamifera,970246
Abludomelita obtusata,267149
Abomalus masoni,728824
Abothrium gadi,671405
Abra alba,642814
Abra longicallus,583341
Abra nitida,402911
Abra prismatica,644747
Abra segmentum,759844
Abrachyglossum capitatum,676246
Abraeus globosus,167929
Abraeus granulum,310178
Abraeus parvulus,528718
Abraeus perpusillus,310177
Abramis brama,156676,669703
Ballerus sapa,274767,1014924
Abraxas grossulariata,123771
Abraxas pantaria,195508
Abraxas sylvata,110171,274675
Abromias monoglypha,354596,159777
Abromias platinea,354593
Abromias syriaca,159776
Abromias zeta,354592
Abronia deppii,276548
Abrostola agnorista,297113
Abrostola asclepiadis,196761
Abrostola tripartita,196760
Abrostola triplasia,196762
