Aagaardia protensa;731420;2;3;1
Aagaardia sivertseni;751157;0;2;0
Abiskomyia paravirgo;751155;3;4;1
Ablabesmyia aspera;272766;185;198;4
Ablabesmyia mallochi;936604;5;6;1
Ablabesmyia monilis;56467;1062;1073;10
Ablabesmyia americana;272780;2549;2554;5
Ablabesmyia phatta;728747;27;31;3
Ablabesmyia longistyla;348434;80;82;7
Acamptocladius reissi;1068067;1;1;0
Acamptocladius submontanus;371362;3;3;1
Acricotopus lucens;639944;19;23;2
Allocladius bothnicus;727953;1;1;1
Allocladius nanseni;371353;1229;1232;2
Anatopynia plumipes;296248;6;12;1
Apsectrotanypus trifascipennis;648775;22;25;1
Arctodiamesa appendiculata;998069;1;1;1
Arctopelopia barbitarsis;354578;17;17;1
Arctopelopia griseipennis;296270;7;11;1
Arctopelopia melanosoma;263436;219;228;1
Axarus fungorum;761230;3;4;1
Benthalia dissidens;105992;53;62;6
Boreochlus thienemanni;751193;4;6;1
Boreoheptagyia brevitarsis;975150;2;3;1
Boreosmittia inariensis;751159;0;2;0
Boreosmittia karelioborealis;751592;1;2;0
Brillia bifida;56461;126;131;7
Brillia flavifrons;141613;5;10;2
Brillia longifurca;387246;12;14;3
Bryophaenocladius nigrus;751775;57;57;1
Bryophaenocladius aestivus;387244;10;10;1
Bryophaenocladius dentatus;371367;9;12;2
Bryophaenocladius faegrii;1078232;2;2;0
Bryophaenocladius flavoscutellatus;393502;142;142;1
Bryophaenocladius flexidens;257404;41;42;4
Bryophaenocladius ictericus;387738;546;549;1
Bryophaenocladius illimbatus;731433;5;5;1
Bryophaenocladius inconstans;273937;4;9;1
Bryophaenocladius nidorum;731429;5;5;1
Bryophaenocladius nitidicollis;371357;67;68;1
Bryophaenocladius pectinatus;393503;0;1;0
Bryophaenocladius propinquus;781592;16;16;1
Bryophaenocladius psilacrus;751170;0;2;0
Bryophaenocladius saanae;753736;0;2;0
Bryophaenocladius scanicus;377920;13;13;3
Bryophaenocladius subparallelus;730536;10;10;1
Bryophaenocladius subvernalis;272758;4;4;2
Smittia terrestris;1139857;17;18;3
Bryophaenocladius tuberculatus;751586;4;4;1
Bryophaenocladius vernalis;1068072;14;14;1
Bryophaenocladius xanthogyne;731436;13;13;2
Buchonomyia thienemanni;936515;0;2;0
Camptocladius stercorarius;673433;463;466;3
Cardiocladius capucinus;545737;8;8;2
Cardiocladius fuscus;728741;6;7;2
Chaetocladius acuminatus;751161;9;11;1
Chaetocladius binotatus;751194;1;1;1
Chaetocladius crassisaetosus;273939;3;3;1
Chaetocladius dentiforceps;297390;25;25;1
Chaetocladius dentiforceps agg;939834;1;1;1
Chaetocladius dissipatus;257389;56;57;1
Chaetocladius elisabethae;808341;27;28;1
Chaetocladius gracilis;56473;2;2;1
Chaetocladius grandilobus;257408;5;7;1
Chaetocladius holmgreni;68659;184;187;2
Chaetocladius incertus;756043;23;23;1
Chaetocladius insolitus;715413;2;2;1
Chaetocladius laminatus;56463;11;15;2
Chaetocladius longivirgatus;329064;38;38;1
Chaetocladius maeaeri;774756;0;2;0
Chaetocladius melaleucus;95101;25;27;4
Chaetocladius minutissimus;141693;1;1;1
Chaetocladius perennis;56481;1064;1068;3
Chaetocladius piger;297385;51;53;3
Chaetocladius piger agg;728724;0;1;0
Chaetocladius purbeckensis;737006;3;3;1
Chaetocladius suecicus;141694;74;79;2
Chaetocladius tenuistylus;393504;78;78;1
Chironomus pallidivittatus;31970;27;29;1
