Eylais canariensis;Eylais planipons
Frontipodopsis reticulatifrons;Frontipodopsis reticulatifrons
Parathyas rarus;Parathyas palustris
Atractides maderensis;Torrenticola maderensis
Atractides similis;Torrenticola similis
Lethaxona pygmaea;Lethaxona pygmaea
Acercopsis pistillifer;Acercopsis pistillifer
Limnolegeria longiseta ;Limnolegeria longiseta 
Torrenticola maderensis;Torrenticola maderensis
Pyropteron nigrobarbata;Pyropteron minianiformis
Synanthedon herzi;Synanthedon formicaeformis
Euxoa emolliens;Euxoa christophi
Sympistis lapponica;Pararctia lapponica
Chaetocladius guisseti;Chaetocladius (Chaetocladius) guisseti
Virgatanytarsus rossaroi;Tanytarsus rossaroi
Ablabesmyia aspera;Ablabesmyia (Ablabesmyia) aspera;ITIS
Ablabesmyia monilis;Ablabesmyia (Ablabesmyia) monilis;ITIS
Ablabesmyia phatta;Ablabesmyia (Ablabesmyia) phatta;FE
Abramis sapa;Ballerus sapa;
Abromias monoglypha;Apamea monoglypha;
Abromias platinea;Apamea platinea;
Abromias syriaca;Apamea syriaca;
Abromias zeta;Apamea zeta;
Acalles commutatus;Acalles fallax;
Acanthaspidia typhlops;Iolanthe typhlops;
Acanthocardia echinata;Acanthocardia spinosa;
Acanthodelphax spinosa;Kosswigianella spinosus;
Acanthophila alacella;Dichomeris alacella;AH
Acanthopsyche ecksteini;Pachythelia semiglabra;FE
Acanthurus blochii;Zebrasoma veliferum;ITIS
Acanthurus triostegus;Acanthurus polyzona;WORMS
Acerbia alpina;Arctia alpina;FE
Acesta excavata;Lima excavata;
Acetropis carinata;Acetropis (Acetropis) carinata;ITIS
Acetropis gimmerthalii;Acetropis (Acetropis) gimmerthalii;FE
Achipteria nitens;Achipteria acuta;FE
Acidostoma nodiferum;Acidostoma obesum;
Acleris caryosphena;Acleris notana;
Acmaea testudinalis;Testudinalia testudinalis;
Acmaea virginea;Tectura virginea;
Acmaeodera cylindrica;Acmaeoderella lanuginosa;FE
Acrocera cabrerae;Acrocera (Acrocerina) cabrerae;
Acrocera orbicula;Acrocera (Acrocera) orbicula;ITIS
Acrocera sanguinea;Acrocera (Acrocerina) sanguinea;
Acrocera trifasciata;Acrocera (Acrocerina) trifasciata;
Acrogalumna longipluma;Allogalumna longipluma;FE
Acrotrichis nana;Acrotrichis dispar;
Actenia borgialis;Stemmatophora borgialis;
Actia dubitata;Actia crassicornis;
Actia pilipennis;Actia lamia;SyDip
Actias graesilia;Actias isabellae;
Actinoposthia haplovata;Childia haplovata;
Actinotia hyperici;Chloantha hyperici;
