species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Hydnophora grandis;Cnidaria;Anthozoa;Scleractinia;Merulinidae;BOLD;1;2;1;;;29875
Orbicella annularis;Cnidaria;Anthozoa;Scleractinia;Merulinidae;BOLD;1;10;1;WORMS;;754030;24793
Orbicella franksi;Cnidaria;Anthozoa;Scleractinia;Merulinidae;BOLD;1;9;1;WORMS;;754029;24794
