species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Scythris heinemanni;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;5;5;1;FE;;363335
Scythris hierroella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;2;3;1;;;1157969
Scythris hornigii;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;5;5;1;FE;;324152
Scythris hungaricella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris iagella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris iberica;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris imperiella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;0;2;0;;gap;363344
Scythris inclusella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris inertella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;4;7;1;FE;;363338
Scythris inspersella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;13;19;2;FE;;271614
Scythris insulella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;0;2;0;FE;gap;363328
Scythris jaeckhi;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris karinae;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris kasyi;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris klimeschi;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;3;3;1;;;1157967
Scythris knochella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF,iNat;3;8;1;FE;;258077
Scythris lafauryi;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;0;1;0;;gap;981219
Scythris lagunae;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris laminella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;37;40;1;FE;;258076
Scythris lampyrella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;0;4;0;FE;gap;363326
Scythris langohri;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris larzacensis;Arthropoda;Insecta;Lepidoptera;Scythrididae;LF;;;;;gap;
Scythris latilineella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,LF;3;3;1;;;574085
Scythris lempkei;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;2;2;1;;;363345
Scythris levantina;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;8;8;1;;;659494
Scythris lhommei;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;4;4;1;;;363341
Scythris limbella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF,iNat;48;58;1;FE;;17997
Scythris lobella;Arthropoda;Insecta;Lepidoptera;Scythrididae;LF;;;;;gap;
Scythris luxatiella;Arthropoda;Insecta;Lepidoptera;Scythrididae;LF;1;1;1;;;659463
Scythris mariannae;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris martini;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;2;2;1;;;659491
Scythris meanderis;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris mediella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;2;3;1;FE;;659379
Scythris mikkolai;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;0;4;0;;gap;659366
Scythris minima;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris moldavicella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;1;1;1;FE;;969107
Scythris mus;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;5;7;2;;;362489
Scythris nevadensis;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris niemineni;Arthropoda;Insecta;Lepidoptera;Scythrididae;LF;6;6;2;;;659400
Scythris nieukerkeni;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;1;1;1;;;762398
Scythris nigrella;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;;;;;gap;
Scythris nigridorsella;Arthropoda;Insecta;Lepidoptera;Scythrididae;LF;0;1;0;;gap;659425
Scythris nipholecta;Arthropoda;Insecta;Lepidoptera;Scythrididae;LF;0;1;0;;gap;659142
Scythris noricella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;62;65;1;FE;;17999
Scythris obscurella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;35;39;2;FE;;275496
Scythris oelandicella;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;17;17;1;;;266521
Scythris olschwangi;Arthropoda;Insecta;Lepidoptera;Scythrididae;FE,LF;1;2;1;;;659418
Scythris palustris;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;11;13;1;FE;;258096
Scythris parafuscoaenea;Arthropoda;Insecta;Lepidoptera;Scythrididae;BOLD,FE,LF;0;1;0;;gap;981205
