species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Chromodoris quadricolor;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;WORMS;4;5;2;WORMS;;898453
Felimare bilineata;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;BOLD;6;14;1;WORMS;;974107
Felimare californiensis;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;BOLD;57;57;1;WORMS;;895268;1057253;756031
Felimare cantabrica;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;BOLD;5;7;1;WORMS;;902410
Felimare fontandraui;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;BOLD;9;11;1;WORMS;;717956
Felimare picta;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;BOLD;36;39;2;WORMS;;717957;796144;751955
Felimare tricolor;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;BOLD;17;26;1;WORMS;;717958;902412
Felimare villafranca;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;BOLD;15;23;3;WORMS;;656673;32975
Felimida atlantica;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;BOLD;1;1;1;;;902415
Felimida binza;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;BOLD;20;20;1;WORMS;;795408;656675
Felimida clenchi;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;BOLD;22;22;2;WORMS;;754036
Felimida krohni;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;BOLD;15;23;1;WORMS;;656677
Felimida luteopunctata;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;BOLD;7;7;1;WORMS;;656678
Felimida luteorosea;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;BOLD;2;2;1;WORMS;;656679;32982
Felimida purpurea;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;BOLD;10;15;1;WORMS;;656680;32981
Hypselodoris infucata;Mollusca;Gastropoda;Nudibranchia;Chromodorididae;WORMS;12;13;2;WORMS;;655999
