species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Subeucalanus monachus;Arthropoda;Copepoda;Calanoida;Subeucalanidae;WORMS;2;5;2;WORMS;;656189;326844
Subeucalanus mucronatus;Arthropoda;Copepoda;Calanoida;Subeucalanidae;WORMS;4;9;3;WORMS;;302286
Subeucalanus pileatus;Arthropoda;Copepoda;Calanoida;Subeucalanidae;WORMS;5;11;2;WORMS;;302272
Subeucalanus subcrassus;Arthropoda;Copepoda;Calanoida;Subeucalanidae;WORMS;32;49;3;WORMS;;315361
Subeucalanus subtenuis;Arthropoda;Copepoda;Calanoida;Subeucalanidae;WORMS;5;11;2;WORMS;;302282;211866
