species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Gietella faialensis;Arthropoda;Insecta;Coleoptera;Gietellidae;FE;;;;;gap;
Gietella fortunata;Arthropoda;Insecta;Coleoptera;Gietellidae;FE;;;;;gap;
