species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Mordellistena confinis;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;12;13;1;;;766412
Mordellistena connata;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena consobrina;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena csiki;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena curticornis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena cypria;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena dalmatica;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;10;10;2;FE;;1023015
Mordellistena dentata;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena dieckmanni;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena difficilis;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena dives;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena dvoraki;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena eludens;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena emeryi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena episternalis;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;14;14;0;FE;;1023018
Mordellistena episternaloides;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena erdoesi;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;4;4;1;;;1022720
Mordellistena ermischi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena eversi;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena exclusa;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena fageli;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena falsoparvula;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;7;8;0;;;774355
Mordellistena falsoparvuliformis;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;19;19;5;FE;;1074160
Mordellistena feigei;Arthropoda;Insecta;Coleoptera;Mordellidae;FE;;;;;gap;
Mordellistena ferruginipes;Arthropoda;Insecta;Coleoptera;Mordellidae;BOLD,FE;1;2;1;;;1062383
