species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Limnebius gracilipes;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;651951
Limnebius graecus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Limnebius grandicollis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Limnebius gridellii;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Limnebius hilaris;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;651953
Limnebius hispanicus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;FE;;651954
Limnebius ibericus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;2;0;;gap;651955
Limnebius ignarus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;FE;;656022
Limnebius lusitanus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;3;1;;;651958
Limnebius maurus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;3;1;;;651959
Limnebius millani;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;651961
Limnebius minoricensis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;651962
Limnebius monfortei;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;911370
Limnebius montanus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;651963
Limnebius mucronatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;651964
Limnebius mundus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Limnebius murcus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Limnebius murentius;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;911371
Limnebius myrmidon;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;911372
Limnebius nanus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Limnebius nitiduloides;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911373
Limnebius nitidus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;9;11;1;FE;;456887
Limnebius nitigeus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Limnebius oblongus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;651965
Limnebius ordunyai;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;3;1;;;651966
Limnebius paganettii;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Limnebius papposus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;7;10;4;;;643721
Limnebius papppsus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD;;;;;gap;510780
Limnebius parvulus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;7;8;1;FE;;651967
Limnebius perparvulus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;656023
Limnebius pilicauda;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;3;1;FE;;651968
Limnebius punctatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Limnebius rubropiceus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;788417
Limnebius schoenmanni;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Limnebius similis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Limnebius simplex;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;2;0;;gap;651969
Limnebius simulans;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Limnebius stagnalis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;651971
Limnebius truncatellus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;26;33;1;FE;;275129
Limnebius truneatulus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD;1;1;1;;;786020
Micragasma paradoxum;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;911375
Ochthebius adriaticus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;4;19;1;;;911096
Ochthebius aeneus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652606
Ochthebius albacetinus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652608
Ochthebius albanicus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;ITIS;gap;
Ochthebius algicola;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;3;0;;gap;1003632
Ochthebius alpheius;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius alpinus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;2;3;1;;;911376
Ochthebius anaxagoras;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius andalusicus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652609
Ochthebius annae;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius anxifer;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652610
Ochthebius aristoteles;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius auriculatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;7;8;1;;;237048
Ochthebius auropallens;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;2;0;;gap;656053
Ochthebius balcanicus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;FE;gap;
Ochthebius basilicatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;4;1;FE;;656054
Ochthebius bellieri;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911385
Ochthebius bellstedti;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius bicolon;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;20;24;1;;;248190
Ochthebius bifoveolatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;911386
Ochthebius bonnairei;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;6;1;;;652611
Ochthebius brevicollis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;2;11;2;FE;;911098
Ochthebius caesaraugustae;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652613
Ochthebius cantabricus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius caudatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;2;0;;gap;1003614
Ochthebius celatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;29;1;;;911051
Ochthebius colveranus;Arthropoda;Insecta;Coleoptera;Hydraenidae;BOLD,FE;3;7;1;ITIS;;652615
Ochthebius corcyraeus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius corrugatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;0;1;0;;gap;652616
Ochthebius corsicus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911390
Ochthebius crenulatus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652617
Ochthebius cuprescens;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652618
Ochthebius cyprensis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius czwalinae;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;;gap;
Ochthebius dalmatinus;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;;;;FE;gap;
Ochthebius delgadoi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;0;;;911391
Ochthebius dentifer;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;911392
Ochthebius depressionis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;652619
Ochthebius diazi;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;1;2;1;;;716187
Ochthebius difficilis;Arthropoda;Insecta;Coleoptera;Hydraenidae;FE;2;4;2;;;652620
