species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Rumina decollata;Mollusca;Gastropoda;Stylommatophora;Subulinidae;BOLD,FE;61;76;3;FE;;717766
Rumina saharica;Mollusca;Gastropoda;Stylommatophora;Subulinidae;FE;;;;FE;gap;
