species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Tectura virginea;Mollusca;Gastropoda;;Acmaeidae;BOLD;2;21;1;WORMS;;103690;251679
Testudinalia testudinalis;Mollusca;Gastropoda;;Acmaeidae;BOLD;36;83;1;WORMS;;306834;88406
