species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Eualus belcheri;Arthropoda;Malacostraca;Decapoda;Thoridae;WORMS;;;;WORMS;gap;
Eualus drachi;Arthropoda;Malacostraca;Decapoda;Thoridae;WORMS;;;;;gap;
Eualus lebourae;Arthropoda;Malacostraca;Decapoda;Thoridae;WORMS;;;;;gap;
Lebbeus groenlandicus;Arthropoda;Malacostraca;Decapoda;Thoridae;WORMS;;;;WORMS;gap;
Thor amboinensis;Arthropoda;Malacostraca;Decapoda;Thoridae;BOLD,WORMS;334;339;11;WORMS;;84215
