species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Atrophia minuta;Arthropoda;Copepoda;Cyclopoida;Lubbockiidae;WORMS;;;;WORMS;gap;
Homeognathia brevis;Arthropoda;Copepoda;Cyclopoida;Lubbockiidae;WORMS;;;;WORMS;gap;
Lubbockia aculeata;Arthropoda;Copepoda;Cyclopoida;Lubbockiidae;WORMS;;;;;gap;
Lubbockia squillimana;Arthropoda;Copepoda;Cyclopoida;Lubbockiidae;WORMS;;;;;gap;
Pseudolubbockia dilatata;Arthropoda;Copepoda;Cyclopoida;Lubbockiidae;WORMS;;;;;gap;
