species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Presynaptiphilus acrocnidae;Arthropoda;Copepoda;Cyclopoida;Synaptiphilidae;WORMS;;;;;gap;
Synaptiphilus luteus;Arthropoda;Copepoda;Cyclopoida;Synaptiphilidae;WORMS;;;;;gap;
Synaptiphilus tridens;Arthropoda;Copepoda;Cyclopoida;Synaptiphilidae;WORMS;;;;WORMS;gap;
