species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Eucopia australis;Arthropoda;Malacostraca;Lophogastrida;Eucopiidae;WORMS;1;2;1;;;1004236
Eucopia grimaldii;Arthropoda;Malacostraca;Lophogastrida;Eucopiidae;WORMS;5;7;2;;;650956
Eucopia major;Arthropoda;Malacostraca;Lophogastrida;Eucopiidae;WORMS;;;;;gap;
Eucopia sculpticauda;Arthropoda;Malacostraca;Lophogastrida;Eucopiidae;WORMS;15;18;2;WORMS;;801275
Eucopia unguiculata;Arthropoda;Malacostraca;Lophogastrida;Eucopiidae;WORMS;1;2;1;WORMS;;1004235
