species;Phylum;Class;Order;Family;source;speciemens barcoded;speciemens;public BINs;verified by;status;BOLD taxid
Erugosquilla massavensis;Arthropoda;Malacostraca;Stomatopoda;Squillidae;WORMS;;;;WORMS;gap;
Rissoides africanus;Arthropoda;Malacostraca;Stomatopoda;Squillidae;WORMS;;;;WORMS;gap;
Rissoides calypso;Arthropoda;Malacostraca;Stomatopoda;Squillidae;WORMS;;;;WORMS;gap;
Rissoides desmaresti;Arthropoda;Malacostraca;Stomatopoda;Squillidae;WORMS;;;;WORMS;gap;
Rissoides pallidus;Arthropoda;Malacostraca;Stomatopoda;Squillidae;WORMS;;;;WORMS;gap;
Squilla mantis;Arthropoda;Malacostraca;Stomatopoda;Squillidae;BOLD,WORMS;38;39;1;WORMS;;16046
